niv,siruta,name,postal,jud,sirsup,tip,med,regiune,nuts
1,10,JUDEŢUL ALBA,,1,1,40,0,7,RO121
2,1017,MUNICIPIUL ALBA IULIA,,1,10,1,1,7,RO121
3,1026,ALBA IULIA,510005,1,1017,9,1,7,RO121
3,1035,BĂRĂBANŢ,510001,1,1017,10,1,7,RO121
3,1044,MICEŞTI,510002,1,1017,10,1,7,RO121
3,1053,OARDA,510003,1,1017,10,1,7,RO121
3,1062,PÂCLIŞA,510004,1,1017,10,1,7,RO121
2,1213,MUNICIPIUL AIUD,,1,10,4,1,7,RO121
3,1222,AIUD,515200,1,1213,9,1,7,RO121
3,1231,AIUDUL DE SUS,515201,1,1213,10,1,7,RO121
3,1277,CIUMBRUD,515202,1,1213,11,1,7,RO121
3,1240,GÂMBAŞ,515203,1,1213,10,1,7,RO121
3,1286,GÂRBOVA DE JOS,515204,1,1213,11,1,7,RO121
3,1295,GÂRBOVA DE SUS,515205,1,1213,11,1,7,RO121
3,1302,GÂRBOVIŢA,515206,1,1213,11,1,7,RO121
3,1259,MĂGINA,515207,1,1213,10,1,7,RO121
3,1268,PĂGIDA,515208,1,1213,10,1,7,RO121
3,1311,SÂNCRAI,515209,1,1213,11,1,7,RO121
3,1320,ŢIFRA,515210,1,1213,11,1,7,RO121
2,1348,MUNICIPIUL BLAJ,,1,10,4,1,7,RO121
3,1357,BLAJ,515400,1,1348,9,1,7,RO121
3,1366,DELENI-OBÂRŞIE,515401,1,1348,10,1,7,RO121
3,1375,FLITEŞTI,515402,1,1348,10,1,7,RO121
3,1384,IZVOARELE,515403,1,1348,10,1,7,RO121
3,1428,MĂNĂRADE,515404,1,1348,11,1,7,RO121
3,1393,PETRISAT,515405,1,1348,10,1,7,RO121
3,1437,SPĂTAC,515406,1,1348,11,1,7,RO121
3,1400,TIUR,515407,1,1348,10,1,7,RO121
3,1419,VEZA,515408,1,1348,10,1,7,RO121
2,1874,MUNICIPIUL SEBEŞ,,1,10,4,1,7,RO121
3,1883,SEBEŞ,515800,1,1874,9,1,7,RO121
3,1892,LANCRĂM,515801,1,1874,10,1,7,RO121
3,1909,PETREŞTI,515850,1,1874,10,1,7,RO121
3,1918,RĂHĂU,515802,1,1874,11,1,7,RO121
2,1151,ORAŞ ABRUD,,1,10,2,1,7,RO121
3,1160,ABRUD,515100,1,1151,17,1,7,RO121
3,1179,ABRUD-SAT,515101,1,1151,18,1,7,RO121
